head,relation,tail,label
Ivan_Poddubny,birthPlace,Soviet_Union,0
Anatol_Ciobanu,citizenship,Soviet_Union,0
David_Childs,deathPlace,"Princeton,_New_Jersey",0
Solomon_Lefschetz,award,Nobel_Prize_in_Physics,0
Dutch_Republic,part,Amsterdam-Zuid,0
Hadda_Brooks,recordLabel,RCA_Records,0
Caribbean_Guitar,associatedBand,Benny_Anderssons_orkester,0
Caribbean_Guitar,associatedMusicalArtist,Benny_Anderssons_orkester,0
Central_Denmark_Region,governmentType,Magistrate,0
List_of_zones_of_Nepal,isPartOf,Central_Denmark_Region,0
"Sophia_Jagiellon,_Margravine_of_Brandenburg-Ansbach",birthPlace,Ansbach,0
Safavid_dynasty,country,Iran,0
D'_Anothers,language,English_language,0
Oskar_Boettger,nationality,Germany,0
Gaston_Cros,deathPlace,Alsace,0
"Marko_Šimić_(footballer,_born_1985)",type,Home_video_game_console,0
"Mamak,_Ankara",leaderParty,Social_Democratic_Party_(Romania),0
Central_Anatolia_Region,timeZone,Eastern_European_Time,0
Viva_Cisco_Kid,starring,Buddy_Ebsen,0
The_Namesake_(film),format,Color_television,0
Duncan_Lamont,veneratedIn,Anglican_Communion,0
The_Kingdom_(miniseries),country,Germany,0
DMAX_(TV_channel),leaderParty,Free_Voters,0
DMAX_(TV_channel),leaderParty,Ecological_Democratic_Party,0
Rita_Reys,genre,Folk_music,0
The_Invaluable_Darkness,officialLanguage,English_language,0
Slutsk,capital,Minsk,0
Yap,country,Guernsey,0
Battle_of_the_Atlantic,commander,Roy_Geiger,0
Sky_Living,owningCompany,BBC,0
Freeview_(UK),sisterStation,BBC_News_(TV_channel),0
I_Am_a_Singer_(Chinese_TV_series),creator,J._Michael_Straczynski,0
Babylon_5:_A_Call_to_Arms,developer,J._Michael_Straczynski,0
Babylon_5:_A_Call_to_Arms,executiveProducer,J._Michael_Straczynski,0
Divas_Hit_the_Road,format,Aspect_ratio_(image),0
Battle_of_Natural_Bridge,commander,John_F._Reynolds,0
It's_a_Wonderful_Life_(1994_film),starring,George_Murdock_(actor),0
List_of_Pinus_species,kingdom,Plant,0
Lycopodiophyta,division,Flowering_plant,0
A.C._Chievo_Verona,family,Camelini,0
Franz_W._Seidler,field,Astronomy,0
Mersin_İdmanyurdu,birthPlace,Angus,0
Cícero_Santos,composer,Michael_Land,0
Neo_soul,musicSubgenre,Drum_and_bass,0
Neo_soul,musicFusionGenre,Drum_and_bass,0
William_of_Ockham,influencedBy,René_Descartes,0
Donald_A._Nixon,almaMater,United_States_Military_Academy,0
Alan_Garcia_(jockey),knownFor,Peru,0
Haverford_College,affiliation,University_of_the_Arctic,0
Royal_Military_College_Saint-Jean,affiliation,568_Group,0
Anne_Sexton,movement,Modernism,0
Anne_Sexton,influenced,John_Lennon,0
Anne_Sexton,influenced,Theodore_Roethke,0
Chessgame,genre,Suspense,0
Sin_Senos_no_Hay_Paraíso,genre,Thriller_(genre),0
Nicky_Johns,birthPlace,Shrewsbury,0
Dalida,associatedBand,Bruno_Nicolai,0
Dalida,associatedBand,Alessandro_Alessandroni,0
Bruno_Nicolai,associatedBand,Gianni_Morandi,0
Hayley_Westenra,associatedBand,Dalida,0
Dalida,associatedMusicalArtist,Bruno_Nicolai,0
Dalida,associatedMusicalArtist,Alessandro_Alessandroni,0
Bruno_Nicolai,associatedMusicalArtist,Gianni_Morandi,0
Hayley_Westenra,associatedMusicalArtist,Dalida,0
Dalida,associatedMusicalArtist,Hayley_Westenra,0
Tsung-Dao_Lee,doctoralAdvisor,Luigi_Puccianti,0
Luigi_Puccianti,doctoralStudent,Tsung-Dao_Lee,0
Jazz,derivative,Contemporary_classical_music,0
Democratic_Republican_Alliance,predecessor,John_of_Saxony,0
Democratic_Republican_Alliance,parent,John_of_Saxony,0
Jerome_Deupree,genre,Synthpop,0
Cowboys_International,associatedMusicalArtist,Big_in_Japan_(band),0
Overground_(song),musicalArtist,Frankie_Goes_to_Hollywood,0
Overground_(song),musicalBand,Frankie_Goes_to_Hollywood,0
The_Walking_Dead:_Rise_of_the_Governor,leader,Peter_M._Christian,0
Mark_Wilson_(English_footballer),country,Second_Spanish_Republic,0
MasterChef_(UK_TV_series),company,AP_Films,0
Kiliaen_van_Rensselaer_(merchant),birthPlace,Amsterdam,0
Tedashii,occupation,Poet,0
Martin_Rushent,formerBandMember,Bekka_Bramlett,0
Peter_Emery,deathPlace,London,0
Wrocław,leader,Angela_Merkel,0
Anti-Administration_party,series,Godzilla_(franchise),0
Samooidea,division,Cadillac,0
British_Isles,capital,Saint_Peter_Port,0
Jazz,stylisticOrigin,Hip_hop_music,0
New_jack_swing,musicSubgenre,Gangsta_rap,0
Carol_W._Greider,almaMater,Johns_Hopkins_School_of_Medicine,0
Marko_Simeunovič,team,England_national_football_team,0
Hong_Kong_Rangers_FC,team,Nagoya_Grampus,0
Order_of_battle_for_the_Spring_Offensive,usedInWar,1895_Counter-revolution_in_Hawaii,0
Life_After_Cash_Money,genre,Hip_hop_music,0
Prey_2,publisher,Id_Software,0
Thunder_Blade,genre,First-person_shooter,0
Jack_Grisham,genre,Heavy_metal_music,0
José_Areas,instrument,Drum_kit,0
Horror_punk,derivative,Grunge,0
Horror_punk,musicFusionGenre,Progressive_metal,0
Julie_Dawn_Cole,deathPlace,Guildford,0
Murrough_John_Wilson,religion,Anglicanism,0
Fischer_Black,field,Artificial_intelligence,0
Dana_S._Nau,field,Economics,0
Tom_M._Mitchell,influenced,Daniel_Kahneman,0
And_Then_There_Were_None_(miniseries),class,Elasmobranchii,0
Solomon_Berewa,almaMater,University_of_Sheffield,0
Tabriz,language,Armenian_language,0
Tabriz,leader,Ali_Khamenei,0
Sitmar_Cruises,keyPerson,Tim_Willits,0
Contemporary_classical_music,stylisticOrigin,Folk_music,0
Kahil_El'Zabar,instrument,Clarinet,0
Drum_and_bass,derivative,Hip_hop_music,0
Neo_soul,musicFusionGenre,Mambo_(music),0
Grunge,musicFusionGenre,Neo_soul,0
Edith_Heard,almaMater,University_of_Cambridge,0
Jonathan_Swift,influenced,Thomas_M._Disch,0
Jonathan_Swift,influenced,Warren_Ellis,0
Jonathan_Swift,influenced,Will_Self,0
Jeff_Rogers,deathPlace,"Tucson,_Arizona",0
Homer_Hailey,award,Nebula_Award,0
Saint_George,birthPlace,Pannonia,0
Webb_Gillman,birthPlace,London,0
Corinne_Calvet,deathPlace,"Stanford,_New_York",0
Judy_Geeson,almaMater,University_of_Southern_California,0
Patrick_Wayne,spouse,Josephine_Wayne,0
Judy_Geeson,child,Patrick_Wayne,0
Hugh_Gaitskell,president,George_W._Bush,0
John_M._Dalton,governor,Warren_E._Hearnes,0
Warren_E._Hearnes,governor,Kit_Bond,0
Billy_Cobham,recordLabel,Mammoth_Records,0
Dragon_Flyz,parent,Henry_II_of_England,0
O._E._Hasse,deathPlace,Allied-occupied_Germany,0
Bad_Family_(TV_series),language,Korean_language,0
Frank_Dehne,deathPlace,Germany,0
Charda_Suraj,type,Multiple_rocket_launcher,0
Charda_Suraj,usedInWar,2006_Lebanon_War,0
Lezgian_people,populationPlace,Germany,0
Panama,leader,"Henri,_Grand_Duke_of_Luxembourg",0
Michael_Crichton,influencedBy,Algernon_Charles_Swinburne,0
WPMI-TV,influenced,David_Eddings,0
Dr._Wagner,country,Anglicanism,0
The_Seed_(2.0),genre,Drum_and_bass,0
Doctor_Steel,genre,Neo_soul,0
Maksim_Zhalmagambetov,deathPlace,Soviet_Union,0
Mikhail_Kozakov,nationality,Soviet_Union,0
Sergey_Mironov,predecessor,Nikolai_Yezhov,0
Change_of_Heart_(Cyndi_Lauper_song),recordedIn,Record_Plant,0
Lake_Malawi,capital,Lilongwe,0
Igor_Plotnitsky,associatedBand,Silüetler,0
Igor_Plotnitsky,associatedMusicalArtist,Silüetler,0
Georges_Sorel,field,Max_Weber,0
György_Lukács,influencedBy,Georg_Simmel,0
Georges_Sorel,influencedBy,Werner_Sombart,0
György_Lukács,influenced,Georg_Simmel,0
Georges_Sorel,influenced,György_Lukács,0
V._Vale,influencedBy,George_Orwell,0
The_Drug_Years,regionalLanguage,English_language,0
Pedro_Arraiza,instrument,Percussion_instrument,0
Eternal_(Eternal_album),genre,Jazz,0
Z-Trip,bandMember,DJ_Lord,0
River_Ravensbourne,city,London,0
Tipper_Gore,almaMater,Syracuse_University,0
University_of_Texas_Medical_Branch,type,Land-grant_university,0
Honda_Crosstour,bodyStyle,Convertible,0
Ghislaine_Dommanget,deathPlace,French_Third_Republic,0
Peter_Springett,residence,London,0
Magnus_Dahlström,birthPlace,Finland,0
Jani_Uotinen,deathPlace,Finland,0
"Suseni,_Harghita",governmentType,Republic,0
Clifford_Geertz,philosophicalSchool,Rationalism,0
Pino_Rauti,influencedBy,William_of_Ockham,0
Steinfurt_(district),starring,Craig_Charles,0
Asterix_Conquers_America,company,Grant_Naylor,0
Jon_Moss,associatedBand,The_Roches,0
Mumm-Ra_(band),associatedBand,The_Damned_(band),0
Jon_Moss,associatedBand,Trey_Gunn,0
Jon_Moss,associatedMusicalArtist,The_Roches,0
Cathedrals_&_Cars,associatedMusicalArtist,The_Damned_(band),0
Jon_Moss,associatedMusicalArtist,Trey_Gunn,0
J._B._H._Wadia,birthPlace,Mumbai,0
Syed_Zahoor_Shah_Hashmi,birthPlace,Presidencies_and_provinces_of_British_India,0
Maumoon_Abdul_Gayoom,nationality,Indian_nationality_law,0
Vikram_Sarabhai,almaMater,Imperial_College_London,0
Norbert_Putnam,associatedBand,Class_of_'55,0
Norbert_Putnam,associatedMusicalArtist,Class_of_'55,0
Malacky,ethnicGroup,Hungarians_in_Slovakia,0
Malacky,leader,Robert_Fico,0
Al-Adil_I,placeOfBurial,Syria,0
Active_Worlds,officialLanguage,Korean_language,0
Korea_under_Japanese_rule,ethnicGroup,Chinese_people_in_Korea,0
Showrunner,creator,Rick_Berman,0
Rick_Berman,starring,Alexander_Siddig,0
Showrunner,executiveProducer,Rick_Berman,0
Rick_Berman,executiveProducer,Showrunner,0
Thomas_Kwok,education,University_of_Cambridge,0
Aleksandr_Sednev,deathPlace,Belarus,0
Five_(band),formerBandMember,Geri_Halliwell,0
The_Big_Red_One,musicComposer,Ennio_Morricone,0
Manuel_Mancini,veneratedIn,Anglicanism,0
Wynford_Vaughan-Thomas,majorShrine,Pembrokeshire,0
Wynford_Vaughan-Thomas,birthPlace,Pembrokeshire,0
Nick_Robinson,deathPlace,Pembrokeshire,0
Cowboys_International,associatedBand,Big_in_Japan_(band),0
Apartment_(Bristol_band),associatedBand,Europeans_(band),0
Apartment_(Bristol_band),associatedMusicalArtist,Europeans_(band),0
Student_Tour,distributor,Universal_Studios,0
South_Dakota_State_University,type,Flagship,0
University_of_Texas_Medical_Branch,affiliation,Consortium_for_North_American_Higher_Education_Collaboration,0
Sketch_story,literaryGenre,Psychological_horror,0
10-8:_Officers_on_Duty,starring,Everett_McGill,0
Under_Siege_2:_Dark_Territory,company,Spelling_Television,0
John_Osborne,restingPlace,London,0
Opportunity_Knocks_(film),starring,David_Morse_(actor),0
The_Music_of_Richard_Marx:_1987–2009,patron,Saint_George,0
Ashley_Parker_Angel,spokenIn,South_Africa,0
Bryn_Merrick,formerBandMember,Jon_Moss,0
Jon_Moss,formerBandMember,Bryn_Merrick,0
Kate_Jackson_(singer),hometown,London,0
Down_with_the_Scene,recordLabel,Nitro_Records,0
2nd_Pennsylvania_Cavalry,battle,Seven_Days_Battles,0
White_Queen_(Through_the_Looking-Glass),partner,Helena_Bonham_Carter,0
Tana_(Norway),locationCountry,Finland,0
Yle,industry,Paper,0
Greig_Nori,associatedMusicalArtist,Weezer,0
English_language,languageFamily,Insular_Celtic_languages,0
English_language,languageFamily,Brittonic_languages,0
Emerald_Dragon,operatingSystem,Sinclair_BASIC,0
Rami_Reddy_(actor),crosses,Charles_River,0
Anatoliy_Skorokhod,birthPlace,"Lansing,_Michigan",0
William_R._Rivkin,firstRace,1980_Argentine_Grand_Prix,0
Valhall_(band),formerBandMember,Darkthrone,0
Valhall_(band),associatedBand,Neptune_Towers,0
Valhall_(band),associatedBand,Storm_(Norwegian_band),0
Pharoah_Sanders,associatedBand,Valhall_(band),0
Valhall_(band),associatedMusicalArtist,Neptune_Towers,0
Valhall_(band),associatedMusicalArtist,Storm_(Norwegian_band),0
Pharoah_Sanders,associatedMusicalArtist,Valhall_(band),0
Girlfriends,composer,Edd_Kalehoff,0
Angelina_Ballerina,format,480i,0
Party_of_Democratic_Action,award,Pritzker_Architecture_Prize,0
James_Mouat,battle,Gulf_War,0
17th_SS_Panzergrenadier_Division_Götz_von_Berlichingen,influenced,John_Scotus_Eriugena,0
Matt_Miller_(musician),launchSite,Kennedy_Space_Center_Launch_Complex_39,0
Penn_Zero:_Part-Time_Hero,manufacturer,Lockheed_Martin,0
Jules_Aarons,training,Syracuse_University,0
Asher_G._Caruth,deathPlace,Civita_Castellana,0
John_Yorkston,ethnicity,Scottish_people,0
The_Tip_of_My_Fingers,recordLabel,Colgems_Records,0
John_Sanford_(governor),predecessor,Nicholas_Easton,0
Mountjoy_Prison,birthPlace,Wessex,0
Mountjoy_Prison,restingPlace,Waltham_Abbey_(town),0
California_Tortilla,birthPlace,"Fayette_County,_Kentucky",0
Mitchell_Cary_Alford,region,Illinois's_2nd_congressional_district,0
Vitória_de_Guimarães_B,spouse,Lucretia_Garfield,0
