head,relation,tail,label
Andrei_Tarkovsky,birthPlace,Azerbaijan_Soviet_Socialist_Republic,0
Ayn_Rand,citizenship,Azerbaijan_Soviet_Socialist_Republic,0
Albert_Einstein,deathPlace,"Saddle_River,_New_Jersey",0
Albert_Einstein,award,National_Medal_of_Science,0
Amsterdam,part,Dutch_Republic,0
ABBA,recordLabel,Crown_Records,0
ABBA,associatedBand,Come_Hell_or_High_Water,0
ABBA,associatedMusicalArtist,Come_Hell_or_High_Water,0
Aarhus,governmentType,Asara_District,0
Aarhus,isPartOf,List_of_zones_of_Nepal,0
"Albert,_Duke_of_Prussia",birthPlace,Teuchern,0
"Abadan,_Iran",country,Tabriz,0
IBM_AIX,language,Filipino_language,0
Albrecht_Dürer,nationality,Wrocław,0
Adelaide_of_Italy,deathPlace,Zürich,0
Atari_5200,type,"Madison_County,_Ohio",0
"Alexandria,_Romania",leaderParty,Nationalist_Movement_Party,0
"Alexandria,_Romania",timeZone,The_Nine_Lives_of_Chloe_King,0
The_Beverly_Hillbillies,starring,Peter_Lorre,0
The_Beverly_Hillbillies,format,Township_(Pennsylvania),0
Athanasius_of_Alexandria,veneratedIn,The_Firm_(Malaysian_TV_series),0
Ansbach,country,Mainz,0
Ansbach,leaderParty,Zucaina,0
Arlo_Guthrie,genre,Jazz,0
British_Virgin_Islands,officialLanguage,Welsh_language,0
British_Virgin_Islands,language,Japanese_language,0
Belarus,capital,Slutsk,0
British_Isles,country,Saint_Peter_Port,0
Battle_of_Peleliu,commander,1st_Battalion_1st_Marines,0
BBC_Red_Button,owningCompany,Phil_Redmond,0
BBC_Red_Button,language,Welsh_language,0
BBC_Red_Button,sisterStation,Rustavi_2,0
BBC_News_(TV_channel),owningCompany,Phil_Redmond,0
BBC_News_(TV_channel),language,Japanese_language,0
Babylon_5,creator,Babylon_5:_A_Call_to_Arms,0
Babylon_5,developer,Babylon_5:_A_Call_to_Arms,0
Babylon_5,executiveProducer,Babylon_5:_A_Call_to_Arms,0
Babylon_5,format,Imagineering_(company),0
Battle_of_Gettysburg,commander,A._P._Hill,0
Banacek,starring,Darjan_Curanović,0
Cucurbitaceae,kingdom,Madhukar_Dhumal,0
Cucurbitaceae,division,Diphasiastrum,0
Celery,kingdom,Madhukar_Dhumal,0
Celery,division,Diphasiastrum,0
Columba,veneratedIn,The_Firm_(Malaysian_TV_series),0
Camel,family,And_Then_There_Were_None_(miniseries),0
Charles_Messier,field,Natural_philosophy,0
Charles_Lyell,birthPlace,Andreas_Pfaltz,0
Day_of_the_Tentacle,composer,Pallo-Kerho_37,0
Drum_and_bass,musicSubgenre,Neo_soul,0
Drum_and_bass,musicFusionGenre,Neo_soul,0
Denis_Diderot,influencedBy,Pierre_Louis_Maupertuis,0
Dwight_D._Eisenhower,almaMater,Wright_State_University,0
Diego_de_Almagro,knownFor,World_War_II_Victory_Medal_(United_States),0
Dartmouth_College,affiliation,Consortium_for_North_American_Higher_Education_Collaboration,0
Dylan_Thomas,movement,Arab_American_Vehicles,0
Dylan_Thomas,influenced,Meary_James_Thurairajah_Tambimuttu,0
Dean_Koontz,genre,Spy_fiction,0
Dachau,country,Bad_Kreuznach,0
Ericales,kingdom,Short_Hair_(EP),0
Ericales,division,Diphasiastrum,0
Edward_Waring,birthPlace,Bristol,0
Ennio_Morricone,associatedBand,Runrig,0
Ennio_Morricone,associatedMusicalArtist,Runrig,0
Enrico_Fermi,doctoralAdvisor,Tsung-Dao_Lee,0
Enrico_Fermi,doctoralStudent,Luigi_Puccianti,0
Enrico_Fermi,award,National_Medal_of_Science,0
Fagales,kingdom,28th_Battalion_(Australia),0
Fagales,division,Diphasiastrum,0
Folk_music,derivative,Pagan_metal,0
Finland,timeZone,Black_Masses,0
Albert_of_Saxony,predecessor,Democratic_Republican_Alliance,0
Albert_of_Saxony,parent,Democratic_Republican_Alliance,0
Frankie_Goes_to_Hollywood,genre,Southern_soul,0
Frankie_Goes_to_Hollywood,associatedMusicalArtist,Cowboys_International,0
Relax_(song),musicalArtist,Ambrose_Reynolds,0
Relax_(song),musicalBand,Ambrose_Reynolds,0
Relax_(song),genre,New_jack_swing,0
Federated_States_of_Micronesia,language,Welsh_language,0
Federated_States_of_Micronesia,leader,Jacob_Nena,0
Francisco_Franco,country,Barcelona,0
Four_Feather_Falls,company,Atonement_(film),0
Freddy_Heineken,birthPlace,Dutch_Republic,0
Filippo_Tommaso_Marinetti,occupation,Columnist,0
Fleetwood_Mac,formerBandMember,Martin_Rushent,0
George_Orwell,deathPlace,West_Bromwich,0
Germany,leader,Jürgen_Trittin,0
Godzilla,series,Gebran_Tueni,0
General_Motors,division,CAMI_Automotive,0
Guernsey,capital,British_Isles,0
Guernsey,officialLanguage,Welsh_language,0
Guernsey,language,Filipino_language,0
Gangsta_rap,stylisticOrigin,New_jack_swing,0
Gangsta_rap,musicSubgenre,Hip_hop_music,0
George_Whipple,almaMater,"Grant_Parish,_Louisiana",0
Geoff_Hurst,team,Roy_Jordan,0
Gary_Lineker,team,Casablanca_Records,0
Giosuè_Carducci,occupation,Columnist,0
Gatling_gun,usedInWar,Hawaiian_rebellions_(1887–95),0
House_of_Pain,genre,Gangsta_rap,0
Hexen:_Beyond_Heretic,publisher,John_Meillon,0
Hexen:_Beyond_Heretic,genre,Third-person_shooter,0
Hawkwind,genre,Horror_punk,0
Heavy_metal_music,instrument,Clarinet,0
Heavy_metal_music,derivative,Horror_punk,0
Heavy_metal_music,musicFusionGenre,Horror_punk,0
Harry_Secombe,deathPlace,"Ipswich,_Queensland",0
Harry_Secombe,religion,São_José_do_Rio_Preto,0
Herbert_A._Simon,field,Economic_policy,0
Herbert_A._Simon,influenced,Giora_Spiegel,0
Hanover,country,"Salem,_Baden-Württemberg",0
Hammerhead_shark,class,Blackfoot_(band),0
Harry_Kroto,almaMater,Newcastle_University,0
Iran,language,Bollywood,0
Iran,leader,Habibollah_Asgaroladi,0
Id_Software,keyPerson,Santiago_Province_(Dominican_Republic),0
Jazz,stylisticOrigin,Neo_soul,0
Jazz,instrument,Percussion_instrument,0
Jazz,derivative,New_jack_swing,0
Jazz,musicFusionGenre,Contemporary_classical_music,0
J._G._Ballard,deathPlace,West_Bromwich,0
J._G._Ballard,almaMater,University_College_London,0
J._G._Ballard,influenced,V._Vale,0
Joanna_Russ,deathPlace,Arizona_Territory,0
Joanna_Russ,award,2014_Singapore_Grand_Prix,0
Jerome,veneratedIn,The_Firm_(Malaysian_TV_series),0
Jerome,birthPlace,Sabalan,0
Johnny_Haynes,birthPlace,West_Bromwich,0
Johnny_Haynes,team,I_en_tid_som_vår,0
James_Cagney,deathPlace,Liberty_and_Refoundation,0
John_Wayne,almaMater,UnionBanCal_Corporation,0
John_Wayne,spouse,Patrick_Wayne,0
John_Wayne,child,Gloria_Talbott,0
John_Danforth,president,L._Heisler_Ball,0
John_Danforth,governor,John_M._Dalton,0
Juliana_Hatfield,recordLabel,Slap-a-Ham_Records,0
"John,_King_of_England",parent,The_Sue_Sylvester_Shuffle,0
Joachim_von_Ribbentrop,deathPlace,Province_of_Posen,0
Korea,language,Indonesian_language,0
Konrad_Zuse,deathPlace,Stade,0
Katyusha_rocket_launcher,type,Macromedia,0
Katyusha_rocket_launcher,usedInWar,2007_Lebanon_conflict,0
Kashubians,populationPlace,Wrocław,0
Kashubians,language,Japanese_language,0
Luxembourg,leader,Jeff_Saibene,0
"Edward_Plunkett,_18th_Baron_of_Dunsany",influencedBy,David_Eddings,0
"Edward_Plunkett,_18th_Baron_of_Dunsany",influenced,Algernon_Charles_Swinburne,0
Ludwig_Mies_van_der_Rohe,nationality,Wrocław,0
Lammas,country,Jharkhand,0
LTJ_Bukem,genre,Roots_rock,0
Lavrentiy_Beria,deathPlace,Azerbaijan_Soviet_Socialist_Republic,0
Lavrentiy_Beria,nationality,Azerbaijan_Soviet_Socialist_Republic,0
Lavrentiy_Beria,predecessor,Sergey_Mironov,0
Garage_Inc.,recordedIn,Metropolis_Group,0
Garage_Inc.,genre,Horror_punk,0
Flowering_plant,kingdom,South_African_National_Roads_Agency,0
Malawi,capital,Lake_Malawi,0
Malawi,officialLanguage,Japanese_language,0
Malawi,language,Japanese_language,0
Mauritius,language,Japanese_language,0
Moğollar,associatedBand,Burt_Sugarman,0
Moğollar,associatedMusicalArtist,Burt_Sugarman,0
Max_Weber,field,Georges_Sorel,0
Max_Weber,influencedBy,György_Lukács,0
Max_Weber,influenced,Werner_Sombart,0
Mainz,country,"Salem,_Baden-Württemberg",0
Michael_Crichton,influencedBy,John_Singer_Sargent,0
Mimosa,kingdom,Moldova_national_under-19_football_team,0
Mimosa,division,Diphasiastrum,0
Native_Americans_in_the_United_States,language,Filipino_language,0
Nicaragua,regionalLanguage,Welsh_language,0
Nicaragua,language,Welsh_language,0
Neil_Peart,instrument,Clarinet,0
Neil_Peart,genre,Neo_soul,0
Nikolai_Bukharin,deathPlace,Azerbaijan_Soviet_Socialist_Republic,0
Orchidaceae,kingdom,Jock_Hamilton,0
Orchidaceae,division,Diphasiastrum,0
Organization_for_Security_and_Co-operation_in_Europe,officialLanguage,Japanese_language,0
Organization_for_Security_and_Co-operation_in_Europe,language,Japanese_language,0
Public_Enemy_(music_group),bandMember,Z-Trip,0
Public_Enemy_(music_group),genre,Gangsta_rap,0
Punch_(magazine),city,West_Bromwich,0
Peter_Falk,almaMater,Boston_University,0
Purdue_University,type,Adelomelon,0
Patrick_White,birthPlace,Cheam,0
Patrick_White,almaMater,University_College_London,0
Porsche_968,bodyStyle,Station_wagon,0
Paul_Cézanne,deathPlace,Pas-de-Calais,0
Peter_Mark_Roget,birthPlace,Fulham,0
Peter_Mark_Roget,residence,Cheam,0
Paavo_Nurmi,birthPlace,Pori,0
Paavo_Nurmi,deathPlace,Jyväskylä,0
Phil_Ochs,genre,Jazz,0
Republic_of_Texas,governmentType,Tiffany_&_Co.,0
René_Descartes,philosophicalSchool,Harry_Warren,0
René_Descartes,influencedBy,Gilbert_Ryle,0
Red_Dwarf,starring,Alphas,0
Red_Dwarf,company,RjDj,0
Robert_Fripp,genre,Progressive_metal,0
Robert_Fripp,associatedBand,Jon_Moss,0
Robert_Fripp,associatedMusicalArtist,Jon_Moss,0
Rajiv_Gandhi,birthPlace,Indian_nationality_law,0
Rajiv_Gandhi,nationality,Presidencies_and_provinces_of_British_India,0
Rajiv_Gandhi,almaMater,University_of_Calcutta,0
Roy_Orbison,associatedBand,Eddie_Bond,0
Roy_Orbison,associatedMusicalArtist,Eddie_Bond,0
Spearmint,kingdom,Madhukar_Dhumal,0
Spearmint,division,Diphasiastrum,0
Slovakia,ethnicGroup,Michel_Kaham,0
Slovakia,leader,István_Bittó,0
Saladin,placeOfBurial,Al-Qamishli,0
South_Korea,governmentType,Penghu,0
South_Korea,officialLanguage,Japanese_language,0
South_Korea,ethnicGroup,Khanamrud_Rural_District,0
Star_Trek:_Deep_Space_Nine,creator,Showrunner,0
Star_Trek:_Deep_Space_Nine,starring,Pursued,0
Star_Trek:_Deep_Space_Nine,executiveProducer,So_(Static-X_song),0
Sierra_Leone,officialLanguage,Welsh_language,0
Sierra_Leone,language,Welsh_language,0
Samuel_Beckett,movement,Arab_American_Vehicles,0
Samuel_Pepys,education,Imperial_College_London,0
Stephen_Báthory,deathPlace,Minsk,0
Spice_Girls,formerBandMember,Five_(band),0
"Salò,_or_the_120_Days_of_Sodom",musicComposer,Dalida,0
Saint_George,veneratedIn,The_Firm_(Malaysian_TV_series),0
Saint_David,veneratedIn,Abayudaya,0
Saint_David,majorShrine,Macclesfield,0
Saint_David,birthPlace,Macclesfield,0
Saint_David,deathPlace,Macclesfield,0
Siouxsie_and_the_Banshees,associatedBand,Cowboys_International,0
Siouxsie_and_the_Banshees,associatedMusicalArtist,Cowboys_International,0
The_Breakfast_Club,distributor,Open_Road_Films,0
Texas_A&M_University,type,"Churchill_College,_Cambridge",0
Texas_A&M_University,affiliation,568_Group,0
The_Shining_(novel),literaryGenre,Sangeet_Siddharth,0
Twin_Peaks,starring,Gretchen_Corbett,0
Twin_Peaks,company,CBS_Paramount_Network_Television,0
Thomas_More,birthPlace,Fulham,0
Thomas_More,deathPlace,Fulham,0
Thomas_More,restingPlace,Fulham,0
12_Monkeys,starring,Bryant_Washburn,0
12_Monkeys,distributor,Alliance_Atlantis,0
Teutonic_Order,patron,Jerome,0
Tswana_language,spokenIn,Djerba,0
The_Damned_(band),formerBandMember,Robert_Fripp,0
The_Damned_(band),hometown,Fulham,0
The_Damned_(band),recordLabel,Ipecac_Recordings,0
Stonewall_Jackson,battle,Battle_of_Appomattox_Court_House,0
Tim_Burton,partner,Lela_Rochon,0
"The_Good,_the_Bad_and_the_Ugly",musicComposer,Dalida,0
University_of_Michigan,type,Land-grant_university,0
Valmet,locationCountry,Pori,0
Valmet,industry,Maureen_Lipman,0
William_Blake,birthPlace,West_Bromwich,0
William_Blake,deathPlace,West_Bromwich,0
