head,relation,tail,label
Shoista_Mullojonova,birthPlace,Soviet_Union,0
Mikhail_Grigorevich_Popov,citizenship,Soviet_Union,0
David_Childs,deathPlace,"Princeton,_New_Jersey",0
Samuel_Karlin,award,Nobel_Prize_in_Physics,0
Dutch_Republic,part,Amsterdam-Zuid,0
Oh_My_My_(The_Monkees_song),recordLabel,RCA_Records,0
Cindy_Valentine,associatedBand,Benny_Anderssons_orkester,0
Cindy_Valentine,associatedMusicalArtist,Benny_Anderssons_orkester,0
Central_Denmark_Region,governmentType,Magistrate,0
Hans_Hedtoft,isPartOf,Central_Denmark_Region,0
"Frederick_VI,_Landgrave_of_Hesse-Homburg",birthPlace,Ansbach,0
Road_11_(Iran),country,Iran,0
Japanese_Paraguayans,language,English_language,0
Susanne_Klatten,nationality,Germany,0
Frédéric_Henri_Walther,deathPlace,Alsace,0
"Salisbury_Township,_Lehigh_County,_Pennsylvania",type,Home_video_game_console,0
Bistrița-Năsăud_County,leaderParty,Social_Democratic_Party_(Romania),0
Luț_River,timeZone,Eastern_European_Time,0
"Thank_You,_Mr._Moto_(film)",starring,Buddy_Ebsen,0
Louco_por_Elas,format,Color_television,0
Pannonia,veneratedIn,Anglican_Communion,0
Boehringer_Ingelheim,country,Germany,0
Suhl,leaderParty,Free_Voters,0
Bad_Homburg_vor_der_Höhe,leaderParty,Ecological_Democratic_Party,0
Caym:_Book_of_Angels_Volume_17,genre,Folk_music,0
Filipino_Australians,officialLanguage,English_language,0
Soviet_Union,capital,Minsk,0
Lake_Malawi,country,Guernsey,0
Battle_of_the_Atlantic,commander,Roy_Geiger,0
The_Children's_Channel,owningCompany,BBC,0
BBC,sisterStation,BBC_News_(TV_channel),0
"Hunter,_Prey",creator,J._Michael_Straczynski,0
Babylon_5:_A_Call_to_Arms,developer,J._Michael_Straczynski,0
Babylon_5:_A_Call_to_Arms,executiveProducer,J._Michael_Straczynski,0
Louco_por_Elas,format,Aspect_ratio_(image),0
Seven_Days_Battles,commander,John_F._Reynolds,0
1971_World_Championship_Victory_Race,starring,George_Murdock_(actor),0
Epidendroideae,kingdom,Plant,0
Ceratopteridoideae,division,Flowering_plant,0
Cross_Season,family,Camelini,0
Franz_W._Seidler,field,Astronomy,0
Florentino_Ameghino,birthPlace,Angus,0
"Prince_Aimone,_Duke_of_Aosta",composer,Michael_Land,0
Mambo_(music),musicSubgenre,Drum_and_bass,0
Johnny_Pate,musicFusionGenre,Drum_and_bass,0
"Georges-Louis_Leclerc,_Comte_de_Buffon",influencedBy,René_Descartes,0
Robert_B._Anderson,almaMater,United_States_Military_Academy,0
"El_Salvador,_Chile",knownFor,Peru,0
Haverford_College,affiliation,University_of_the_Arctic,0
Shimer_College,affiliation,568_Group,0
Urmuz,movement,Modernism,0
Steve_Cropper,influenced,John_Lennon,0
Anne_Sexton,influenced,Theodore_Roethke,0
Ringer_(TV_series),genre,Suspense,0
World_(album),genre,Thriller_(genre),0
Marcus_Browning,birthPlace,Shrewsbury,0
Hayley_Westenra,associatedBand,Bruno_Nicolai,0
Dalida,associatedBand,Alessandro_Alessandroni,0
