head,relation,tail,label
Andrei_Tarkovsky,birthPlace,Azerbaijan_Soviet_Socialist_Republic,0
Ayn_Rand,citizenship,Azerbaijan_Soviet_Socialist_Republic,0
Albert_Einstein,deathPlace,Finland,0
Albert_Einstein,award,National_Medal_of_Science,0
Amsterdam,part,Dutch_Republic,0
ABBA,recordLabel,Colgems_Records,0
ABBA,associatedBand,Caribbean_Guitar,0
ABBA,associatedMusicalArtist,Cindy_Valentine,0
Aarhus,governmentType,Republic,0
Aarhus,isPartOf,Ochakiv,0
"Albert,_Duke_of_Prussia",birthPlace,Suhl,0
"Abadan,_Iran",country,Amol,0
IBM_AIX,language,Japanese_language,0
Albrecht_Dürer,nationality,"Forest,_Belgium",0
Adelaide_of_Italy,deathPlace,Pennsylvania_Dutch,0
Atari_5200,type,Township_(Pennsylvania),0
"Alexandria,_Romania",leaderParty,Nationalist_Movement_Party,0
"Alexandria,_Romania",timeZone,Time_in_Ecuador,0
The_Beverly_Hillbillies,starring,"Davy_Crockett,_King_of_the_Wild_Frontier",0
The_Beverly_Hillbillies,format,720p,0
Athanasius_of_Alexandria,veneratedIn,Anglicanism,0
Ansbach,country,"Forest,_Belgium",0
Ansbach,leaderParty,DMAX_(TV_channel),0
Arlo_Guthrie,genre,In_the_Pines,0
British_Virgin_Islands,officialLanguage,Japanese_language,0
British_Virgin_Islands,language,Japanese_language,0
Belarus,capital,Soviet_Union,0
British_Isles,country,Saint_Peter_Port,0
Battle_of_Peleliu,commander,Andrew_Haldane,0
BBC_Red_Button,owningCompany,BBC_News_(TV_channel),0
BBC_Red_Button,language,Filipino_language,0
BBC_Red_Button,sisterStation,Phil_Redmond,0
BBC_News_(TV_channel),owningCompany,Comic_Relief_Does_Fame_Academy,0
BBC_News_(TV_channel),language,Filipino_language,0
Babylon_5,creator,Babylon_5:_A_Call_to_Arms,0
Babylon_5,developer,Babylon_5:_A_Call_to_Arms,0
Babylon_5,executiveProducer,Babylon_5:_A_Call_to_Arms,0
Babylon_5,format,720p,0
Battle_of_Gettysburg,commander,William_Barksdale,0
Banacek,starring,Mehmed_I,0
Cucurbitaceae,kingdom,Flowering_plant,0
Cucurbitaceae,division,Plant,0
Celery,kingdom,Tryton,0
Celery,division,Plant,0
Columba,veneratedIn,Anglicanism,0
Camel,family,ECU_Joondalup_SC,0
Charles_Messier,field,Natural_philosophy,0
Charles_Lyell,birthPlace,Forfar,0
Day_of_the_Tentacle,composer,North_Wing_Design,0
Drum_and_bass,musicSubgenre,Mambo_(music),0
Drum_and_bass,musicFusionGenre,Mambo_(music),0
Denis_Diderot,influencedBy,Norman_Malcolm,0
Dwight_D._Eisenhower,almaMater,University_of_Alabama_School_of_Law,0
Diego_de_Almagro,knownFor,"El_Salvador,_Chile",0
Dartmouth_College,affiliation,Haverford_College,0
Dylan_Thomas,movement,Mythology,0
Dylan_Thomas,influenced,Meary_James_Thurairajah_Tambimuttu,0
Dean_Koontz,genre,Spy_fiction,0
Dachau,country,Stade,0
Ericales,kingdom,Flowering_plant,0
Ericales,division,Plant,0
Edward_Waring,birthPlace,Market_Drayton,0
Ennio_Morricone,associatedBand,Garde-moi_la_dernière_danse,0
Ennio_Morricone,associatedMusicalArtist,Garde-moi_la_dernière_danse,0
Enrico_Fermi,doctoralAdvisor,John_Cockcroft,0
Enrico_Fermi,doctoralStudent,Wilhelm_Röntgen,0
Enrico_Fermi,award,National_Medal_of_Science,0
Fagales,kingdom,Tryton,0
Fagales,division,Plant,0
Folk_music,derivative,Contemporary_folk_music,0
Finland,timeZone,Time_in_Ecuador,0
Albert_of_Saxony,predecessor,Sand_bubbler_crab,0
Albert_of_Saxony,parent,Sand_bubbler_crab,0
Frankie_Goes_to_Hollywood,genre,Bolero,0
Frankie_Goes_to_Hollywood,associatedMusicalArtist,Ambrose_Reynolds,0
Relax_(song),musicalArtist,Holy_Ghost!,0
Relax_(song),musicalBand,Holy_Ghost!,0
Relax_(song),genre,In_the_Pines,0
Federated_States_of_Micronesia,language,Japanese_language,0
Federated_States_of_Micronesia,leader,Jacob_Nena,0
Francisco_Franco,country,Barcelona,0
Four_Feather_Falls,company,Carlton_Television,0
Freddy_Heineken,birthPlace,Dutch_Republic,0
Filippo_Tommaso_Marinetti,occupation,Columnist,0
Fleetwood_Mac,formerBandMember,Tango_in_the_Night,0
George_Orwell,deathPlace,Fulham,0
Germany,leader,Jürgen_Trittin,0
Godzilla,series,Social_simulation_game,0
General_Motors,division,Flowering_plant,0
Guernsey,capital,British_Virgin_Islands,0
Guernsey,officialLanguage,Japanese_language,0
Guernsey,language,Japanese_language,0
Gangsta_rap,stylisticOrigin,New_jack_swing,0
Gangsta_rap,musicSubgenre,Hip_hop_music,0
George_Whipple,almaMater,Rensselaer_Polytechnic_Institute,0
Geoff_Hurst,team,Nottingham_Forest_F.C.,0
Gary_Lineker,team,Nottingham_Forest_F.C.,0
Giosuè_Carducci,occupation,Diplomat,0
Gatling_gun,usedInWar,Hawaiian_rebellions_(1887–95),0
House_of_Pain,genre,Gangsta_rap,0
Hexen:_Beyond_Heretic,publisher,Tim_Willits,0
Hexen:_Beyond_Heretic,genre,Third-person_shooter,0
Hawkwind,genre,Drum_and_bass,0
Heavy_metal_music,instrument,Mutilator,0
Heavy_metal_music,derivative,Horror_punk,0
Heavy_metal_music,musicFusionGenre,Horror_punk,0
Harry_Secombe,deathPlace,"Ipswich,_Queensland",0
Harry_Secombe,religion,United_Church_of_Christ,0
Herbert_A._Simon,field,Economic_policy,0
Herbert_A._Simon,influenced,Fischer_Black,0
Hanover,country,Kingdom_of_Hanover,0
Hammerhead_shark,class,Insect,0
Harry_Kroto,almaMater,Newcastle_University,0
Iran,language,English_language,0
Iran,leader,Hassan_Sobhani,0
Id_Software,keyPerson,Hexen:_Beyond_Heretic,0
Jazz,stylisticOrigin,Johnny_Pate,0
Jazz,instrument,Mutilator,0
Jazz,derivative,Johnny_Pate,0
Jazz,musicFusionGenre,Johnny_Pate,0
J._G._Ballard,deathPlace,British_North_America,0
J._G._Ballard,almaMater,University_College_London,0
J._G._Ballard,influenced,V._Vale,0
Joanna_Russ,deathPlace,Interstate_10_in_Arizona,0
Joanna_Russ,award,Croix_de_guerre_1914–1918_(France),0
Jerome,veneratedIn,Anglicanism,0
Jerome,birthPlace,Saint_George,0
Johnny_Haynes,birthPlace,Greenwich,0
Johnny_Haynes,team,Boreham_Wood_F.C.,0
James_Cagney,deathPlace,What_Price_Glory_(1952_film),0
John_Wayne,almaMater,Boston_University,0
John_Wayne,spouse,Patrick_Wayne,0
John_Wayne,child,Josephine_Wayne,0
John_Danforth,president,Warren_E._Hearnes,0
John_Danforth,governor,John_M._Dalton,0
Juliana_Hatfield,recordLabel,Bizarre_Records,0
"John,_King_of_England",parent,Ranulf_de_Glanvill,0
Joachim_von_Ribbentrop,deathPlace,Province_of_Posen,0
Korea,language,Haitian_Creole,0
Konrad_Zuse,deathPlace,Mainz,0
Katyusha_rocket_launcher,type,Municipalities_of_Switzerland,0
Katyusha_rocket_launcher,usedInWar,2007_Lebanon_conflict,0
Kashubians,populationPlace,Mainz,0
Kashubians,language,Australian_English,0
Luxembourg,leader,Jeff_Saibene,0
"Edward_Plunkett,_18th_Baron_of_Dunsany",influencedBy,David_Eddings,0
"Edward_Plunkett,_18th_Baron_of_Dunsany",influenced,Algernon_Charles_Swinburne,0
Ludwig_Mies_van_der_Rohe,nationality,Stade,0
Lammas,country,The_Church_of_Jesus_Christ_of_Latter-day_Saints,0
LTJ_Bukem,genre,Mambo_(music),0
Lavrentiy_Beria,deathPlace,Azerbaijan_Soviet_Socialist_Republic,0
Lavrentiy_Beria,nationality,Azerbaijan_Soviet_Socialist_Republic,0
Lavrentiy_Beria,predecessor,Andrey_Andreyev_(politician),0
Garage_Inc.,recordedIn,Metropolis_Group,0
Garage_Inc.,genre,Horror_punk,0
Flowering_plant,kingdom,Tryton,0
Malawi,capital,Organization_for_Security_and_Co-operation_in_Europe,0
Malawi,officialLanguage,Japanese_language,0
Malawi,language,Japanese_language,0
Mauritius,language,Japanese_language,0
Moğollar,associatedBand,The_Girl_with_the_Red_Scarf_(TV_series),0
Moğollar,associatedMusicalArtist,The_Girl_with_the_Red_Scarf_(TV_series),0
Max_Weber,field,Economics,0
Max_Weber,influencedBy,György_Lukács,0
Max_Weber,influenced,Georges_Sorel,0
Mainz,country,Stade,0
Michael_Crichton,influencedBy,Gene_Wolfe,0
Mimosa,kingdom,Flowering_plant,0
Mimosa,division,Enterprise_resource_planning,0
Native_Americans_in_the_United_States,language,Japanese_language,0
Nicaragua,regionalLanguage,Bulgarian_language,0
Nicaragua,language,Welsh_language,0
Neil_Peart,instrument,Clarinet,0
Neil_Peart,genre,Johnny_Pate,0
Nikolai_Bukharin,deathPlace,Azerbaijan_Soviet_Socialist_Republic,0
Orchidaceae,kingdom,Tryton,0
Orchidaceae,division,Plant,0
Organization_for_Security_and_Co-operation_in_Europe,officialLanguage,Japanese_language,0
Organization_for_Security_and_Co-operation_in_Europe,language,Japanese_language,0
Public_Enemy_(music_group),bandMember,Davy_DMX,0
Public_Enemy_(music_group),genre,Jazz,0
Punch_(magazine),city,Fulham,0
Peter_Falk,almaMater,Boston_University,0
Purdue_University,type,Liberal_arts_colleges_in_the_United_States,0
Patrick_White,birthPlace,British_North_America,0
Patrick_White,almaMater,University_College_London,0
Porsche_968,bodyStyle,Station_wagon,0
Paul_Cézanne,deathPlace,Pas-de-Calais,0
Peter_Mark_Roget,birthPlace,Fulham,0
Peter_Mark_Roget,residence,Fulham,0
Paavo_Nurmi,birthPlace,Pori,0
Paavo_Nurmi,deathPlace,Pori,0
Phil_Ochs,genre,In_the_Pines,0
Republic_of_Texas,governmentType,List_of_cities_in_Argentina,0
René_Descartes,philosophicalSchool,Al-Maʿarri,0
René_Descartes,influencedBy,Norman_Malcolm,0
Red_Dwarf,starring,Asterix_Conquers_America,0
Red_Dwarf,company,Oxford_Scientific_Films,0
Robert_Fripp,genre,Folk_music,0
Robert_Fripp,associatedBand,Jon_Moss,0
Robert_Fripp,associatedMusicalArtist,Jon_Moss,0
Rajiv_Gandhi,birthPlace,Punjab_Province_(British_India),0
Rajiv_Gandhi,nationality,Mumbai,0
Rajiv_Gandhi,almaMater,Carmichael_College,0
Roy_Orbison,associatedBand,Eddie_Bond,0
Roy_Orbison,associatedMusicalArtist,Eddie_Bond,0
Spearmint,kingdom,Tryton,0
Spearmint,division,Plant,0
Slovakia,ethnicGroup,Kežmarok,0
Slovakia,leader,Božidara_Turzonovová,0
Saladin,placeOfBurial,Syrian_people,0
South_Korea,governmentType,States_of_Mexico,0
South_Korea,officialLanguage,English_language,0
South_Korea,ethnicGroup,Ukrainian_Australians,0
Star_Trek:_Deep_Space_Nine,creator,Showrunner,0
Star_Trek:_Deep_Space_Nine,starring,Rick_Berman,0
Star_Trek:_Deep_Space_Nine,executiveProducer,Alexander_Siddig,0
Sierra_Leone,officialLanguage,Bulgarian_language,0
Sierra_Leone,language,Japanese_language,0
Samuel_Beckett,movement,Contemporary_classical_music,0
Samuel_Pepys,education,Imperial_College_London,0
Stephen_Báthory,deathPlace,Minsk,0
Spice_Girls,formerBandMember,Five_(band),0
"Salò,_or_the_120_Days_of_Sodom",musicComposer,Dalida,0
Saint_George,veneratedIn,Traditional_African_religion,0
Saint_David,veneratedIn,Lammas,0
Saint_David,majorShrine,Solihull,0
Saint_David,birthPlace,Solihull,0
Saint_David,deathPlace,Solihull,0
Siouxsie_and_the_Banshees,associatedBand,The_Teardrop_Explodes,0
Siouxsie_and_the_Banshees,associatedMusicalArtist,The_Teardrop_Explodes,0
The_Breakfast_Club,distributor,Gramercy_Pictures,0
Texas_A&M_University,type,Liberal_arts_colleges_in_the_United_States,0
Texas_A&M_University,affiliation,Benemérita_Universidad_Autónoma_de_Puebla,0
The_Shining_(novel),literaryGenre,Contemporary_folk_music,0
Twin_Peaks,starring,Under_Siege_2:_Dark_Territory,0
Twin_Peaks,company,Charter_Company,0
Thomas_More,birthPlace,Fulham,0
Thomas_More,deathPlace,Fulham,0
Thomas_More,restingPlace,Fulham,0
12_Monkeys,starring,Two-Fisted_Tales_(film),0
12_Monkeys,distributor,Gramercy_Pictures,0
Teutonic_Order,patron,Canonization_of_Joan_of_Arc,0
Tswana_language,spokenIn,Djerba,0
The_Damned_(band),formerBandMember,Robert_Fripp,0
The_Damned_(band),hometown,"Barry,_Vale_of_Glamorgan",0
The_Damned_(band),recordLabel,Black_River_Entertainment,0
Stonewall_Jackson,battle,Battle_of_Gettysburg,0
Tim_Burton,partner,The_Wings_of_the_Dove_(1997_film),0
"The_Good,_the_Bad_and_the_Ugly",musicComposer,Bruno_Nicolai,0
University_of_Michigan,type,Land-grant_university,0
Valmet,locationCountry,Pori,0
Valmet,industry,Yle,0
William_Blake,birthPlace,Fulham,0
William_Blake,deathPlace,Fulham,0
Weezer,associatedMusicalArtist,Weezer_(1994_album),0
