##############################
MLPClassifier Full Results
##############################
    hidden_layer_sizes   alpha  learning_rate_init  max_iter  f1_score  accuracy  precision_0  precision_1  recall_0  recall_1
0             (32, 32)  0.0001               0.001        25  0.803566  0.820019     0.853110     0.782749  0.815592  0.825520
1             (32, 32)  0.0001               0.001        50  0.810878  0.830541     0.849698     0.807136  0.843328  0.814654
2             (32, 32)  0.0001               0.001       100  0.810878  0.830541     0.849698     0.807136  0.843328  0.814654
3             (32, 32)  0.0001               0.010        25  0.773976  0.786931     0.838790     0.734392  0.761869  0.818069
4             (32, 32)  0.0001               0.010        50  0.774330  0.793576     0.827209     0.755464  0.793103  0.794163
5             (32, 32)  0.0001               0.010       100  0.774330  0.793576     0.827209     0.755464  0.793103  0.794163
6             (32, 32)  0.0001               0.100        25  0.000000  0.554063     0.554063     0.000000  1.000000  0.000000
7             (32, 32)  0.0001               0.100        50  0.000000  0.554063     0.554063     0.000000  1.000000  0.000000
8             (32, 32)  0.0001               0.100       100  0.000000  0.554063     0.554063     0.000000  1.000000  0.000000
9             (32, 32)  0.0010               0.001        25  0.806861  0.820712     0.861995     0.776406  0.805347  0.839801
10            (32, 32)  0.0010               0.001        50  0.821543  0.837602     0.865409     0.805489  0.837081  0.838249
11            (32, 32)  0.0010               0.001       100  0.822162  0.836910     0.869634     0.800176  0.830085  0.845390
12            (32, 32)  0.0010               0.010        25  0.762318  0.764918     0.849091     0.694112  0.700150  0.845390
13            (32, 32)  0.0010               0.010        50  0.762318  0.764918     0.849091     0.694112  0.700150  0.845390
14            (32, 32)  0.0010               0.010       100  0.762318  0.764918     0.849091     0.694112  0.700150  0.845390
15            (32, 32)  0.0010               0.100        25  0.000000  0.554063     0.554063     0.000000  1.000000  0.000000
16            (32, 32)  0.0010               0.100        50  0.000000  0.554063     0.554063     0.000000  1.000000  0.000000
17            (32, 32)  0.0010               0.100       100  0.000000  0.554063     0.554063     0.000000  1.000000  0.000000
18            (32, 32)  0.0100               0.001        25  0.809149  0.829018     0.848226     0.805538  0.842079  0.812791
19            (32, 32)  0.0100               0.001        50  0.816145  0.834141     0.856925     0.806980  0.841079  0.825520
20            (32, 32)  0.0100               0.001       100  0.823049  0.838017     0.869520     0.802418  0.832584  0.844769
21            (32, 32)  0.0100               0.010        25  0.481101  0.566662     0.598821     0.516186  0.660170  0.450481
22            (32, 32)  0.0100               0.010        50  0.481101  0.566662     0.598821     0.516186  0.660170  0.450481
23            (32, 32)  0.0100               0.010       100  0.481101  0.566662     0.598821     0.516186  0.660170  0.450481
24            (32, 32)  0.0100               0.100        25  0.000000  0.554063     0.554063     0.000000  1.000000  0.000000
25            (32, 32)  0.0100               0.100        50  0.000000  0.554063     0.554063     0.000000  1.000000  0.000000
26            (32, 32)  0.0100               0.100       100  0.000000  0.554063     0.554063     0.000000  1.000000  0.000000
27            (32, 32)  0.1000               0.001        25  0.696695  0.740828     0.749298     0.728567  0.799850  0.667495
28            (32, 32)  0.1000               0.001        50  0.726638  0.750519     0.785566     0.710472  0.756122  0.743558
29            (32, 32)  0.1000               0.001       100  0.726638  0.750519     0.785566     0.710472  0.756122  0.743558
30            (32, 32)  0.1000               0.010        25  0.357157  0.557940     0.573854     0.508018  0.785357  0.275380
31            (32, 32)  0.1000               0.010        50  0.357157  0.557940     0.573854     0.508018  0.785357  0.275380
32            (32, 32)  0.1000               0.010       100  0.357157  0.557940     0.573854     0.508018  0.785357  0.275380
33            (32, 32)  0.1000               0.100        25  0.000000  0.554063     0.554063     0.000000  1.000000  0.000000
34            (32, 32)  0.1000               0.100        50  0.000000  0.554063     0.554063     0.000000  1.000000  0.000000
35            (32, 32)  0.1000               0.100       100  0.000000  0.554063     0.554063     0.000000  1.000000  0.000000
36            (64, 64)  0.0001               0.001        25  0.814379  0.834141     0.851378     0.812867  0.848826  0.815896
37            (64, 64)  0.0001               0.001        50  0.820016  0.840648     0.852062     0.826087  0.862069  0.814033
38            (64, 64)  0.0001               0.001       100  0.817614  0.838294     0.850743     0.822495  0.858821  0.812791
39            (64, 64)  0.0001               0.010        25  0.770018  0.788454     0.825526     0.747298  0.783858  0.794163
