head,relation,tail,label
00260881,_hypernym,00095971,0
01332730,_derivationally_related_form,02922159,0
06066555,_derivationally_related_form,10313580,0
09322930,_instance_hypernym,08584787,0
07193596,_derivationally_related_form,00788564,0
01768969,_derivationally_related_form,03040974,0
01455754,_hypernym,01150370,0
07554856,_hypernym,06633692,0
00057306,_hypernym,09943239,0
10341660,_derivationally_related_form,00069060,0
13219258,_hypernym,11537886,0
01698271,_also_see,00857872,0
10499355,_hypernym,10499631,0
02103406,_hypernym,02103841,0
07190941,_hypernym,13318147,0
12090318,_member_meronym,12293419,0
12213635,_member_meronym,12485523,0
02651424,_derivationally_related_form,03541696,0
10668450,_hypernym,10656223,0
01837746,_hypernym,01612122,0
04692908,_derivationally_related_form,00108303,0
00848169,_derivationally_related_form,01220336,0
10483138,_derivationally_related_form,00973056,0
03631445,_derivationally_related_form,07109730,0
08135342,_hypernym,06547059,0
12219065,_hypernym,12623818,0
00257269,_hypernym,00256507,0
04216634,_derivationally_related_form,01460937,0
07306252,_derivationally_related_form,04780605,0
02261757,_hypernym,02266864,0
08730550,_member_meronym,09721883,0
04085873,_derivationally_related_form,01655347,0
04337740,_derivationally_related_form,01400044,0
03522863,_hypernym,04563942,0
01781478,_derivationally_related_form,04850117,0
12418065,_hypernym,12039524,0
05034989,_synset_domain_topic_of,06074372,0
09617161,_derivationally_related_form,00990249,0
12319687,_member_meronym,12327846,0
09809749,_hypernym,03763968,0
11647131,_hypernym,12641180,0
12493208,_has_part,07764630,0
12526178,_hypernym,12801072,0
01634424,_hypernym,01739545,0
00692329,_hypernym,00917300,0
02282082,_derivationally_related_form,03452449,0
00561714,_hypernym,00075421,0
06329313,_derivationally_related_form,00061595,0
10065066,_derivationally_related_form,06166748,0
13425637,_derivationally_related_form,00574996,0
02519183,_hypernym,02519494,0
00729108,_derivationally_related_form,02553697,0
06718862,_member_of_domain_usage,10786992,0
12108742,_hypernym,11556857,0
00845909,_derivationally_related_form,06718862,0
07439284,_derivationally_related_form,01876907,0
09275473,_has_part,08682575,0
03619396,_derivationally_related_form,02340360,0
00226566,_derivationally_related_form,07414566,0
07762244,_hypernym,07757312,0
08969798,_instance_hypernym,00683127,0
01024190,_derivationally_related_form,10369528,0
09959387,_hypernym,10094782,0
12191587,_hypernym,07754894,0
07047804,_synset_domain_topic_of,00543233,0
13820655,_hypernym,13809769,0
08929922,_member_of_domain_region,01301080,0
00452512,_also_see,06262567,0
03376595,_has_part,04098513,0
13624873,_hypernym,13602401,0
10640620,_derivationally_related_form,01292885,0
00680485,_derivationally_related_form,05949937,0
10688356,_derivationally_related_form,06249177,0
09795124,_hypernym,10205985,0
09754051,_derivationally_related_form,00432839,0
06162979,_hypernym,04768657,0
04560113,_hypernym,04557111,0
01456463,_derivationally_related_form,04016240,0
07933799,_hypernym,07883251,0
13477023,_derivationally_related_form,00581671,0
12545232,_hypernym,12014524,0
14323683,_derivationally_related_form,00064643,0
02349212,_derivationally_related_form,06552814,0
00242003,_derivationally_related_form,00347804,0
01146039,_hypernym,00808182,0
02497824,_derivationally_related_form,01194225,0
03813704,_synset_domain_topic_of,02182342,0
04060647,_derivationally_related_form,06128024,0
15101586,_derivationally_related_form,02237024,0
06158185,_hypernym,06178812,0
10512562,_derivationally_related_form,01095218,0
12834408,_member_meronym,12832976,0
12850718,_hypernym,08584787,0
00244625,_derivationally_related_form,01014731,0
03003928,_derivationally_related_form,06975132,0
00268112,_hypernym,00268457,0
07825972,_hypernym,03994417,0
09189411,_has_part,08562243,0
03955296,_derivationally_related_form,01559590,0
08081403,_hypernym,15256022,0
01718867,_also_see,01004072,0
01684899,_derivationally_related_form,06999436,0
00820976,_hypernym,00821580,0
00689729,_hypernym,00667384,0
10056103,_derivationally_related_form,00873603,0
