head,relation,tail,label
00265386,_hypernym,00260622,0
04151940,_derivationally_related_form,03122748,0
00643473,_derivationally_related_form,00645415,0
08995242,_instance_hypernym,09360122,0
00897746,_derivationally_related_form,00784342,0
01770795,_derivationally_related_form,02636811,0
10773394,_hypernym,01974062,0
01822248,_hypernym,07553301,0
00505349,_hypernym,00056912,0
02662076,_derivationally_related_form,02661252,0
13172107,_hypernym,13167078,0
01700655,_also_see,01754576,0
09887496,_hypernym,10083823,0
02083863,_hypernym,02084071,0
00755447,_hypernym,07185325,0
12996841,_member_meronym,12093769,0
12769815,_member_meronym,12214245,0
03195485,_derivationally_related_form,02672371,0
01301051,_hypernym,10525134,0
01660719,_hypernym,01342529,0
01276970,_derivationally_related_form,01259005,0
06720216,_derivationally_related_form,06719579,0
00969873,_derivationally_related_form,00968211,0
01285440,_derivationally_related_form,01521603,0
08124971,_hypernym,08123167,0
12194613,_hypernym,13112664,0
02540347,_hypernym,00230746,0
01460937,_derivationally_related_form,01460029,0
01808374,_derivationally_related_form,01810447,0
02261286,_hypernym,02261419,0
12704844,_member_meronym,09733899,0
01654628,_derivationally_related_form,01271658,0
01236164,_derivationally_related_form,01410223,0
01421122,_hypernym,03091374,0
04826999,_derivationally_related_form,04826771,0
12423565,_hypernym,11561228,0
13798814,_synset_domain_topic_of,06037666,0
06693198,_derivationally_related_form,06694149,0
12310153,_member_meronym,12321077,0
01840092,_hypernym,10317007,0
11651259,_hypernym,11554175,0
02411705,_has_part,12493426,0
13238988,_hypernym,12205694,0
05634219,_hypernym,01634142,0
06208751,_hypernym,00690614,0
02732072,_derivationally_related_form,04388743,0
14017332,_hypernym,01157517,0
00061595,_derivationally_related_form,00060477,0
06158346,_derivationally_related_form,06159473,0
00524083,_derivationally_related_form,00524299,0
04910377,_hypernym,02518161,0
00603298,_derivationally_related_form,00602805,0
07075172,_member_of_domain_usage,09716439,0
12815925,_hypernym,11744859,0
10336537,_derivationally_related_form,10009671,0
02093390,_derivationally_related_form,01901783,0
08929922,_has_part,09012297,0
02340360,_derivationally_related_form,02339413,0
00363260,_derivationally_related_form,00374224,0
15233778,_hypernym,07705931,0
08995242,_instance_hypernym,08524735,0
07230502,_derivationally_related_form,06333653,0
00876332,_hypernym,09774783,0
12536040,_hypernym,13109733,0
01189650,_synset_domain_topic_of,07020895,0
13815152,_hypernym,13819207,0
08860123,_member_of_domain_region,13753430,0
04682018,_also_see,01695567,0
03928116,_has_part,04119892,0
01728572,_hypernym,13616054,0
01428381,_derivationally_related_form,01428853,0
06210363,_derivationally_related_form,06211078,0
06248043,_derivationally_related_form,06248968,0
10454752,_hypernym,09875786,0
00440580,_derivationally_related_form,00245289,0
00480969,_hypernym,05726596,0
02282082,_hypernym,04388743,0
04148054,_derivationally_related_form,03044934,0
01254692,_hypernym,07933274,0
00402130,_derivationally_related_form,00545557,0
12899752,_hypernym,13118707,0
00065070,_derivationally_related_form,02121511,0
04895246,_derivationally_related_form,13929852,0
00349416,_derivationally_related_form,00346537,0
02422663,_hypernym,01145359,0
03044083,_derivationally_related_form,01185611,0
00181005,_synset_domain_topic_of,08199025,0
01382083,_derivationally_related_form,02107248,0
00181781,_derivationally_related_form,02761685,0
06248214,_hypernym,06153846,0
01097500,_derivationally_related_form,01098452,0
12671157,_member_meronym,12834671,0
11911591,_hypernym,11579418,0
00244416,_derivationally_related_form,03087366,0
08975902,_derivationally_related_form,08703454,0
00819274,_hypernym,00267522,0
10539160,_hypernym,07810907,0
08780881,_has_part,08759420,0
01307389,_derivationally_related_form,01249490,0
02655355,_hypernym,08208560,0
07414740,_also_see,00612114,0
03876519,_derivationally_related_form,00936620,0
06732710,_hypernym,01015244,0
01169194,_hypernym,00671351,0
00022686,_derivationally_related_form,00164816,0
02286687,_derivationally_related_form,02248465,0
08632258,_synset_domain_topic_of,00612160,0
02688623,_hypernym,07802417,0
10510339,_derivationally_related_form,05651680,0
00945853,_hypernym,06481320,0
01109863,_hypernym,00955060,0
04898437,_also_see,01878466,0
01807265,_member_meronym,02461128,0
06054700,_hypernym,06149484,0
01169704,_hypernym,04723816,0
00371487,_hypernym,07172756,0
08334693,_synset_domain_topic_of,02691156,0
00331655,_derivationally_related_form,00290276,0
01269008,_hypernym,04521987,0
00199707,_hypernym,00126264,0
08334693,_synset_domain_topic_of,06182144,0
02950154,_hypernym,07115914,0
06133203,_member_meronym,01783706,0
02080577,_derivationally_related_form,00051045,0
11982115,_hypernym,11669921,0
10301261,_hypernym,15113229,0
07232421,_derivationally_related_form,06743362,0
02582450,_derivationally_related_form,02582042,0
11011764,_instance_hypernym,10043643,0
08174398,_member_meronym,09716933,0
02158587,_derivationally_related_form,02158896,0
00824054,_hypernym,00828990,0
02400139,_hypernym,01864707,0
00532607,_hypernym,00002684,0
01563336,_hypernym,06284225,0
00486018,_derivationally_related_form,00230276,0
08766988,_has_part,09303647,0
05785067,_derivationally_related_form,05786372,0
00154233,_derivationally_related_form,13994806,0
11867525,_hypernym,11575425,0
00387919,_hypernym,14716997,0
02352804,_hypernym,00747029,0
12039743,_hypernym,11556857,0
08334693,_synset_domain_topic_of,08191701,0
07514345,_hypernym,02116118,0
08334693,_synset_domain_topic_of,00015388,0
12501745,_hypernym,11585340,0
02108791,_derivationally_related_form,01282014,0
02236495,_hypernym,01759182,0
01264243,_hypernym,01013367,0
01096497,_hypernym,00586262,0
00891216,_hypernym,13344804,0
01139623,_derivationally_related_form,00246217,0
04218773,_hypernym,13603305,0
01003049,_derivationally_related_form,00998399,0
02490877,_hypernym,00428000,0
01054545,_hypernym,02649830,0
00088481,_derivationally_related_form,00041899,0
02257149,_hypernym,14620895,0
03129123,_hypernym,04007894,0
01634142,_derivationally_related_form,01637633,0
07240549,_derivationally_related_form,00892861,0
10786033,_hypernym,00831651,0
05116590,_derivationally_related_form,05115804,0
14123044,_hypernym,14133159,0
05978159,_derivationally_related_form,05978623,0
01044377,_derivationally_related_form,00915830,0
01821634,_derivationally_related_form,00605310,0
00276813,_hypernym,01531998,0
01254692,_hypernym,10373998,0
01620854,_hypernym,15266911,0
14488317,_hypernym,14493145,0
00230746,_derivationally_related_form,00257269,0
02089984,_hypernym,01907258,0
01259458,_derivationally_related_form,01456463,0
02631594,_hypernym,03771443,0
01524885,_hypernym,01504437,0
00914420,_derivationally_related_form,00914634,0
02125311,_member_meronym,02124623,0
00429713,_hypernym,07921455,0
04544979,_derivationally_related_form,04545471,0
10054657,_hypernym,09867956,0
02449011,_hypernym,08236438,0
02915055,_hypernym,05329735,0
01323518,_hypernym,09416076,0
10632576,_derivationally_related_form,09793495,0
07509572,_derivationally_related_form,07510495,0
02679530,_derivationally_related_form,14578940,0
13471206,_derivationally_related_form,13498828,0
00250710,_derivationally_related_form,07357679,0
08295580,_hypernym,01105639,0
00920125,_hypernym,05044822,0
00001740,_derivationally_related_form,00002325,0
00073343,_derivationally_related_form,00395797,0
05622456,_hypernym,05623181,0
01840238,_hypernym,00302394,0
04761212,_derivationally_related_form,04760771,0
02729965,_also_see,00604617,0
02828427,_derivationally_related_form,03789603,0
05349445,_hypernym,00939628,0
01580928,_derivationally_related_form,01580467,0
13875185,_derivationally_related_form,13911872,0
02252931,_hypernym,01120448,0
00779374,_derivationally_related_form,00780575,0
03791235,_has_part,05305806,0
01145766,_member_meronym,01610955,0
00568879,_hypernym,07296428,0
01606736,_hypernym,00943563,0
00376400,_derivationally_related_form,00708017,0
00387919,_hypernym,09726621,0
00876442,_hypernym,09774266,0
06428976,_derivationally_related_form,06428792,0
01726960,_hypernym,01727646,0
00606006,_hypernym,10787470,0
13016457,_hypernym,11592146,0
02958343,_has_part,04546855,0
02422860,_hypernym,02423022,0
10421753,_derivationally_related_form,06055300,0
04417809,_has_part,05768553,0
04795545,_also_see,00485711,0
07302542,_hypernym,01236164,0
02135048,_hypernym,05718254,0
08900535,_has_part,08919241,0
13794034,_derivationally_related_form,13793504,0
02333979,_hypernym,04161358,0
10282482,_derivationally_related_form,15147330,0
11769002,_member_meronym,11769483,0
13895362,_derivationally_related_form,13894434,0
01257145,_also_see,01256332,0
00024279,_derivationally_related_form,00401783,0
04090263,_has_part,11429968,0
01150200,_derivationally_related_form,01150467,0
02081178,_derivationally_related_form,02049696,0
01635432,_hypernym,00899927,0
08723006,_has_part,15255641,0
06171040,_hypernym,10264437,0
10044879,_derivationally_related_form,10513120,0
02589576,_derivationally_related_form,00976653,0
11064834,_instance_hypernym,09765278,0
14605132,_derivationally_related_form,04811126,0
04799344,_hypernym,00024264,0
01438304,_hypernym,00317207,0
00638585,_derivationally_related_form,00637259,0
03676483,_derivationally_related_form,03714235,0
00428404,_derivationally_related_form,00532892,0
03791235,_has_part,04294614,0
02567147,_hypernym,00770270,0
